,選手名,球団,一軍,防御率,勝,負,S,奪三振,試合数,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,失点,自責点,完投,完封,無四球,被打率,QS率,援護点,援護率,WHIP,UP打数,UP被安打,UP被打率,UP被本塁打,最高球速,最低球速,球速差,year,get_out
116,平良拳太郎,巨,,9.82,0,1,0,4,1,32/3,9.82,71,18,4,1,3,0,0,4,4,0,0,0,.267,0.00%,0,0.00,1.91,12,2,.167,1,142,113,29,2016,11.0
117,メンドーサ,巨,,11.25,0,0,0,4,3,4,9.00,77,20,6,1,2,0,0,5,5,0,0,0,.353,0.00%,0,0.00,2.00,0,0,.000,0,148,103,45,2016,12.0
118,中川皓太,巨,,13.50,0,0,0,2,2,2,9.00,42,11,4,2,1,0,0,3,3,0,0,0,.400,0.00%,0,0.00,2.50,0,0,.000,0,147,102,45,2016,6.0
119,林昌勇,ヤ,,0.00,0,0,0,7,9,7,9.00,114,28,6,0,2,0,0,0,0,0,0,0,.240,0.00%,0,0.00,1.14,6,1,.167,0,151,119,32,2012,21.0
120,松岡健一,ヤ,○,0.00,0,0,0,5,7,61/3,7.11,93,29,8,0,2,1,0,0,0,0,0,0,.320,0.00%,0,0.00,1.58,4,3,.750,0,146,110,36,2012,19.0
121,山本哲哉,ヤ,○,1.21,2,2,0,38,50,442/3,7.66,732,183,41,1,15,3,0,6,6,0,0,0,.258,0.00%,0,0.00,1.25,57,14,.246,0,151,118,33,2012,134.0
122,八木亮祐,ヤ,,1.80,1,0,0,13,3,15,7.80,280,65,10,1,11,1,0,4,3,0,0,0,.192,33.33%,6,3.38,1.40,46,10,.217,1,143,104,39,2012,45.0
123,バーネット,ヤ,○,1.99,1,2,33,52,57,541/3,8.61,835,213,44,4,11,2,0,16,12,0,0,0,.224,0.00%,0,0.00,1.01,105,23,.219,3,151,108,43,2012,163.0
124,館山昌平,ヤ,○,2.25,12,8,0,119,25,1681/3,6.36,2522,676,141,7,45,6,3,45,42,2,1,0,.233,79.17%,62,3.21,1.09,342,78,.228,3,151,102,49,2012,505.0
125,中澤雅人,ヤ,,2.40,2,0,0,8,3,15,4.80,250,66,15,0,5,2,0,4,4,0,0,0,.268,0.00%,9,5.06,1.33,35,8,.229,0,148,100,48,2012,45.0
126,正田樹,ヤ,,2.84,0,0,0,14,24,251/3,4.97,398,108,31,0,5,2,0,9,8,0,0,0,.313,0.00%,0,0.00,1.42,2,0,.000,0,145,98,47,2012,76.0
127,日高亮,ヤ,○,2.98,3,2,0,40,66,511/3,7.01,873,213,41,2,21,1,0,19,17,0,0,0,.228,0.00%,0,0.00,1.21,47,7,.149,0,147,107,40,2012,154.0
128,ロマン,ヤ,○,3.04,9,11,0,96,26,1652/3,5.22,2627,703,152,8,69,6,3,59,56,3,2,0,.254,53.85%,55,2.89,1.32,349,90,.258,4,151,107,44,2012,497.0
129,石川雅規,ヤ,○,3.60,8,11,0,100,27,1722/3,5.21,2764,721,175,14,41,5,2,77,69,2,1,0,.267,55.56%,79,3.95,1.24,379,101,.266,8,142,97,45,2012,518.0
130,阿部健太,ヤ,,3.60,0,0,0,9,15,15,5.40,237,62,12,1,6,0,1,6,6,0,0,0,.231,0.00%,0,0.00,1.13,0,0,.000,0,143,108,35,2012,45.0
